Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable
mp-1147756,CuCl2,Cu,Tetragonal,I4/mmm,0.0791647,0.026388233333333334,3,False
mp-1147758,CuCl2,Cu,Tetragonal,P4/mmm,0.0005106,0.00017020000000000002,3,False
mp-1238872,CuCl2,Cu,Trigonal,R-3m,0.9993472,0.33311573333333333,3,False
mp-1213141,CuCl3,Cu,Orthorhombic,Cmmm,8.0009063,0.50005664375,16,False
mp-32829,CuCl4,Cu,Tetragonal,I-42m,2.574957,0.5149914,5,False
mp-620029,MoCl2,Mo,Orthorhombic,Cmce,0.0,0.0,36,True
mp-22853,MoCl3,Mo,Monoclinic,C2/m,3.999542,0.49994275,8,False
mp-568394,MoCl3,Mo,Monoclinic,C2/c,7.9999969,0.49999980625,16,False
mp-684640,MoCl3,Mo,Trigonal,P-31c,24.0004399,0.750013746875,32,False
mp-1221495,MoCl3,Mo,Monoclinic,C2/m,4.0011282,0.2500705125,16,False
mp-32625,MoCl4,Mo,Monoclinic,P2/c,11.9999999,0.3999999966666667,30,False
mp-569005,MoCl4,Mo,Trigonal,P-31m,12.0000001,0.4000000033333333,30,False
mp-1221517,MoCl4,Mo,Trigonal,P-31m,0.0067403,0.00044935333333333337,15,False
mp-29147,MoCl5,Mo,Monoclinic,P2_1/c,7.9967306,0.16659855416666666,48,False
mp-569436,MoCl5,Mo,Triclinic,P-1,2.0,0.16666666666666666,12,True
mp-569855,MoCl5,Mo,Orthorhombic,Pnma,8.0000001,0.16666666875,48,False
mp-571256,MoCl5,Mo,Monoclinic,C2/m,6.0000001,0.16666666944444444,36,False
mp-1427168,MoCl5,Mo,Triclinic,P-1,2.0027272,0.16689393333333333,12,False
mp-1221436,MoCl6,Mo,Trigonal,P-31m,0.0,0.0,7,True
mp-1221487,MoCl6,Mo,Trigonal,P-3m1,0.0,0.0,21,False
mp-27880,Nb3Cl7,Nb,Orthorhombic,Cmce,0.0,0.0,40,True
mp-29950,Nb3Cl8,Nb,Trigonal,P-3m1,1.9932237,0.09060107727272727,22,True
mp-31040,NbCl4,Nb,Monoclinic,C2/m,0.0,0.0,10,True
mp-23307,NbCl5,Nb,Monoclinic,C2/m,0.0,0.0,36,True
mp-568483,NbCl5,Nb,Monoclinic,P2_1/c,0.0,0.0,24,False
mp-1094137,Ni15Cl16,Ni,Cubic,Im-3m,15.9979755,0.5160637258064517,31,False
mp-1096769,Ni3Cl4,Ni,Monoclinic,C2/m,8.0000272,0.5714305142857142,14,False
mp-1096770,Ni3Cl4,Ni,Orthorhombic,Cmmm,3.9991325,0.5713046428571429,7,False
mp-1094110,Ni5Cl6,Ni,Monoclinic,C2/m,5.9998977,0.5454452454545454,11,False
mp-1022720,Ni6Cl7,Ni,Triclinic,P-1,13.9986357,0.5384090653846154,26,False
mp-1021674,NiCl,Ni,Cubic,Fm-3m,0.9999197,0.49995985,2,False
mp-1186339,NiCl,Ni,Hexagonal,P6_3mc,1.9956203,0.498905075,4,False
mp-27396,NiCl2,Ni,Trigonal,R-3m,1.9999999,0.6666666333333333,3,True
mp-1207348,NiCl6,Ni,Orthorhombic,Cmmm,4.0,0.5714285714285714,7,False
mp-27678,Y2Cl3,Y,Monoclinic,C2/m,0.0,0.0,10,True
mp-540884,YCl,Y,Trigonal,R-3m,1.7137729,0.428443225,4,False
mp-27455,YCl3,Y,Monoclinic,C2/m,0.0,0.0,8,True
mp-22889,ZnCl2,Zn,Orthorhombic,Pna2_1,1e-07,8.333333333333334e-09,12,False
mp-22909,ZnCl2,Zn,Tetragonal,I-42d,0.0,0.0,6,True
mp-567279,ZnCl2,Zn,Tetragonal,P4_2/nmc,0.0,0.0,6,False
mp-571540,ZnCl2,Zn,Monoclinic,P2_1/c,0.0,0.0,36,False
mp-1238832,ZnCl3,Zn,Hexagonal,P6_3/m,0.0003805,4.75625e-05,8,False
mp-648774,Zr2Cl5,Zr,Cubic,Ia-3d,39.9862727,0.2380135279761905,168,False
